ᶰ	ᶰ	ɴ	U+1DB0 (MODIFIER LETTER SMALL CAPITAL N) preserved SUPERSCRIPT
ᶱ	ᶱ	ɵ	U+1DB1 (MODIFIER LETTER SMALL BARRED O) preserved SUPERSCRIPT
ᶲ	ᶲ	ɸ	U+1DB2 (MODIFIER LETTER SMALL PHI) preserved SUPERSCRIPT
ᶳ	ᶳ	ʂ	U+1DB3 (MODIFIER LETTER SMALL S WITH HOOK) preserved SUPERSCRIPT
ᶴ	ᶴ	ʃ	U+1DB4 (MODIFIER LETTER SMALL ESH) preserved SUPERSCRIPT
ᶵ	ᶵ	ƫ	U+1DB5 (MODIFIER LETTER SMALL T WITH PALATAL HOOK) preserved SUPERSCRIPT
ᶶ	ᶶ	ʉ	U+1DB6 (MODIFIER LETTER SMALL U BAR) preserved SUPERSCRIPT
ᶷ	ᶷ	ʊ	U+1DB7 (MODIFIER LETTER SMALL UPSILON) preserved SUPERSCRIPT
ᶸ	ᶸ	ᴜ	U+1DB8 (MODIFIER LETTER SMALL CAPITAL U) preserved SUPERSCRIPT
ᶹ	ᶹ	ʋ	U+1DB9 (MODIFIER LETTER SMALL V WITH HOOK) preserved SUPERSCRIPT
ᶺ	ᶺ	ʌ	U+1DBA (MODIFIER LETTER SMALL TURNED V) preserved SUPERSCRIPT
ᶻ	ᶻ	z	U+1DBB (MODIFIER LETTER SMALL Z) preserved SUPERSCRIPT
ᶼ	ᶼ	ʐ	U+1DBC (MODIFIER LETTER SMALL Z WITH RETROFLEX HOOK) preserved SUPERSCRIPT
ᶽ	ᶽ	ʑ	U+1DBD (MODIFIER LETTER SMALL Z WITH CURL) preserved SUPERSCRIPT
ᶾ	ᶾ	ʒ	U+1DBE (MODIFIER LETTER SMALL EZH) preserved SUPERSCRIPT
ᶿ	ᶿ	θ	U+1DBF (MODIFIER LETTER SMALL THETA) preserved SUPERSCRIPT
ẚ	ẚ	aʾ	U+1E9A (LATIN SMALL LETTER A WITH RIGHT HALF RING) preserved DIACRITIC
ά	ά	ά	U+1F71 (GREEK SMALL LETTER ALPHA WITH OXIA) preserved DIACRITIC
έ	έ	έ	U+1F73 (GREEK SMALL LETTER EPSILON WITH OXIA) preserved DIACRITIC
ή	ή	ή	U+1F75 (GREEK SMALL LETTER ETA WITH OXIA) preserved DIACRITIC
ί	ί	ί	U+1F77 (GREEK SMALL LETTER IOTA WITH OXIA) preserved DIACRITIC
ό	ό	ό	U+1F79 (GREEK SMALL LETTER OMICRON WITH OXIA) preserved DIACRITIC
ύ	ύ	ύ	U+1F7B (GREEK SMALL LETTER UPSILON WITH OXIA) preserved DIACRITIC
ώ	ώ	ώ	U+1F7D (GREEK SMALL LETTER OMEGA WITH OXIA) preserved DIACRITIC
Ά	Ά	Ά	U+1FBB (GREEK CAPITAL LETTER ALPHA WITH OXIA) preserved DIACRITIC
᾽	᾽	 ̓	U+1FBD (GREEK KORONIS) preserved DIACRITIC
ι	ι	ι	U+1FBE (GREEK PROSGEGRAMMENI) preserved DIACRITIC
᾿	᾿	 ̓	U+1FBF (GREEK PSILI) preserved DIACRITIC
῀	῀	 ͂	U+1FC0 (GREEK PERISPOMENI) preserved DIACRITIC
῁	῁	 ̈͂	U+1FC1 (GREEK DIALYTIKA AND PERISPOMENI) preserved DIACRITIC
Έ	Έ	Έ	U+1FC9 (GREEK CAPITAL LETTER EPSILON WITH OXIA) preserved DIACRITIC
Ή	Ή	Ή	U+1FCB (GREEK CAPITAL LETTER ETA WITH OXIA) preserved DIACRITIC
῍	῍	 ̓̀	U+1FCD (GREEK PSILI AND VARIA) preserved DIACRITIC
῎	῎	 ̓́	U+1FCE (GREEK PSILI AND OXIA) preserved DIACRITIC
῏	῏	 ̓͂	U+1FCF (GREEK PSILI AND PERISPOMENI) preserved DIACRITIC
ΐ	ΐ	ΐ	U+1FD3 (GREEK SMALL LETTER IOTA WITH DIALYTIKA AND OXIA) preserved DIACRITIC
Ί	Ί	Ί	U+1FDB (GREEK CAPITAL LETTER IOTA WITH OXIA) preserved DIACRITIC
῝	῝	 ̔̀	U+1FDD (GREEK DASIA AND VARIA) preserved DIACRITIC
῞	῞	 ̔́	U+1FDE (GREEK DASIA AND OXIA) preserved DIACRITIC
῟	῟	 ̔͂	U+1FDF (GREEK DASIA AND PERISPOMENI) preserved DIACRITIC
ΰ	ΰ	ΰ	U+1FE3 (GREEK SMALL LETTER UPSILON WITH DIALYTIKA AND OXIA) preserved DIACRITIC
Ύ	Ύ	Ύ	U+1FEB (GREEK CAPITAL LETTER UPSILON WITH OXIA) preserved DIACRITIC
῭	῭	 ̈̀	U+1FED (GREEK DIALYTIKA AND VARIA) preserved DIACRITIC
