MapFromString	MapToString	Comment # File DigitMappingAnnotated.tsv, automatically generated by script wildebeest_build.py (Ulf Hermjakob, USC/ISI) based on UnicodeData on Oct 18, 2020, 17:54:45
൭	7	U+0D6D (MALAYALAM DIGIT SEVEN) -> U+0037 (DIGIT SEVEN)
൮	8	U+0D6E (MALAYALAM DIGIT EIGHT) -> U+0038 (DIGIT EIGHT)
൯	9	U+0D6F (MALAYALAM DIGIT NINE) -> U+0039 (DIGIT NINE)
෦	0	U+0DE6 (SINHALA LITH DIGIT ZERO) -> U+0030 (DIGIT ZERO)
෧	1	U+0DE7 (SINHALA LITH DIGIT ONE) -> U+0031 (DIGIT ONE)
෨	2	U+0DE8 (SINHALA LITH DIGIT TWO) -> U+0032 (DIGIT TWO)
෩	3	U+0DE9 (SINHALA LITH DIGIT THREE) -> U+0033 (DIGIT THREE)
෪	4	U+0DEA (SINHALA LITH DIGIT FOUR) -> U+0034 (DIGIT FOUR)
෫	5	U+0DEB (SINHALA LITH DIGIT FIVE) -> U+0035 (DIGIT FIVE)
෬	6	U+0DEC (SINHALA LITH DIGIT SIX) -> U+0036 (DIGIT SIX)
෭	7	U+0DED (SINHALA LITH DIGIT SEVEN) -> U+0037 (DIGIT SEVEN)
෮	8	U+0DEE (SINHALA LITH DIGIT EIGHT) -> U+0038 (DIGIT EIGHT)
෯	9	U+0DEF (SINHALA LITH DIGIT NINE) -> U+0039 (DIGIT NINE)
๐	0	U+0E50 (THAI DIGIT ZERO) -> U+0030 (DIGIT ZERO)
๑	1	U+0E51 (THAI DIGIT ONE) -> U+0031 (DIGIT ONE)
๒	2	U+0E52 (THAI DIGIT TWO) -> U+0032 (DIGIT TWO)
๓	3	U+0E53 (THAI DIGIT THREE) -> U+0033 (DIGIT THREE)
๔	4	U+0E54 (THAI DIGIT FOUR) -> U+0034 (DIGIT FOUR)
๕	5	U+0E55 (THAI DIGIT FIVE) -> U+0035 (DIGIT FIVE)
๖	6	U+0E56 (THAI DIGIT SIX) -> U+0036 (DIGIT SIX)
๗	7	U+0E57 (THAI DIGIT SEVEN) -> U+0037 (DIGIT SEVEN)
๘	8	U+0E58 (THAI DIGIT EIGHT) -> U+0038 (DIGIT EIGHT)
๙	9	U+0E59 (THAI DIGIT NINE) -> U+0039 (DIGIT NINE)
໐	0	U+0ED0 (LAO DIGIT ZERO) -> U+0030 (DIGIT ZERO)
໑	1	U+0ED1 (LAO DIGIT ONE) -> U+0031 (DIGIT ONE)
໒	2	U+0ED2 (LAO DIGIT TWO) -> U+0032 (DIGIT TWO)
໓	3	U+0ED3 (LAO DIGIT THREE) -> U+0033 (DIGIT THREE)
໔	4	U+0ED4 (LAO DIGIT FOUR) -> U+0034 (DIGIT FOUR)
໕	5	U+0ED5 (LAO DIGIT FIVE) -> U+0035 (DIGIT FIVE)
໖	6	U+0ED6 (LAO DIGIT SIX) -> U+0036 (DIGIT SIX)
໗	7	U+0ED7 (LAO DIGIT SEVEN) -> U+0037 (DIGIT SEVEN)
໘	8	U+0ED8 (LAO DIGIT EIGHT) -> U+0038 (DIGIT EIGHT)
໙	9	U+0ED9 (LAO DIGIT NINE) -> U+0039 (DIGIT NINE)
༠	0	U+0F20 (TIBETAN DIGIT ZERO) -> U+0030 (DIGIT ZERO)
༡	1	U+0F21 (TIBETAN DIGIT ONE) -> U+0031 (DIGIT ONE)
༢	2	U+0F22 (TIBETAN DIGIT TWO) -> U+0032 (DIGIT TWO)
༣	3	U+0F23 (TIBETAN DIGIT THREE) -> U+0033 (DIGIT THREE)
༤	4	U+0F24 (TIBETAN DIGIT FOUR) -> U+0034 (DIGIT FOUR)
༥	5	U+0F25 (TIBETAN DIGIT FIVE) -> U+0035 (DIGIT FIVE)
༦	6	U+0F26 (TIBETAN DIGIT SIX) -> U+0036 (DIGIT SIX)
༧	7	U+0F27 (TIBETAN DIGIT SEVEN) -> U+0037 (DIGIT SEVEN)
༨	8	U+0F28 (TIBETAN DIGIT EIGHT) -> U+0038 (DIGIT EIGHT)
༩	9	U+0F29 (TIBETAN DIGIT NINE) -> U+0039 (DIGIT NINE)
၀	0	U+1040 (MYANMAR DIGIT ZERO) -> U+0030 (DIGIT ZERO)
၁	1	U+1041 (MYANMAR DIGIT ONE) -> U+0031 (DIGIT ONE)
၂	2	U+1042 (MYANMAR DIGIT TWO) -> U+0032 (DIGIT TWO)
၃	3	U+1043 (MYANMAR DIGIT THREE) -> U+0033 (DIGIT THREE)
၄	4	U+1044 (MYANMAR DIGIT FOUR) -> U+0034 (DIGIT FOUR)
၅	5	U+1045 (MYANMAR DIGIT FIVE) -> U+0035 (DIGIT FIVE)
၆	6	U+1046 (MYANMAR DIGIT SIX) -> U+0036 (DIGIT SIX)
၇	7	U+1047 (MYANMAR DIGIT SEVEN) -> U+0037 (DIGIT SEVEN)
၈	8	U+1048 (MYANMAR DIGIT EIGHT) -> U+0038 (DIGIT EIGHT)
၉	9	U+1049 (MYANMAR DIGIT NINE) -> U+0039 (DIGIT NINE)
႐	0	U+1090 (MYANMAR SHAN DIGIT ZERO) -> U+0030 (DIGIT ZERO)
႑	1	U+1091 (MYANMAR SHAN DIGIT ONE) -> U+0031 (DIGIT ONE)
႒	2	U+1092 (MYANMAR SHAN DIGIT TWO) -> U+0032 (DIGIT TWO)
႓	3	U+1093 (MYANMAR SHAN DIGIT THREE) -> U+0033 (DIGIT THREE)
႔	4	U+1094 (MYANMAR SHAN DIGIT FOUR) -> U+0034 (DIGIT FOUR)
႕	5	U+1095 (MYANMAR SHAN DIGIT FIVE) -> U+0035 (DIGIT FIVE)
႖	6	U+1096 (MYANMAR SHAN DIGIT SIX) -> U+0036 (DIGIT SIX)
႗	7	U+1097 (MYANMAR SHAN DIGIT SEVEN) -> U+0037 (DIGIT SEVEN)
႘	8	U+1098 (MYANMAR SHAN DIGIT EIGHT) -> U+0038 (DIGIT EIGHT)
႙	9	U+1099 (MYANMAR SHAN DIGIT NINE) -> U+0039 (DIGIT NINE)
០	0	U+17E0 (KHMER DIGIT ZERO) -> U+0030 (DIGIT ZERO)
១	1	U+17E1 (KHMER DIGIT ONE) -> U+0031 (DIGIT ONE)
២	2	U+17E2 (KHMER DIGIT TWO) -> U+0032 (DIGIT TWO)
៣	3	U+17E3 (KHMER DIGIT THREE) -> U+0033 (DIGIT THREE)
៤	4	U+17E4 (KHMER DIGIT FOUR) -> U+0034 (DIGIT FOUR)
៥	5	U+17E5 (KHMER DIGIT FIVE) -> U+0035 (DIGIT FIVE)
៦	6	U+17E6 (KHMER DIGIT SIX) -> U+0036 (DIGIT SIX)
៧	7	U+17E7 (KHMER DIGIT SEVEN) -> U+0037 (DIGIT SEVEN)
៨	8	U+17E8 (KHMER DIGIT EIGHT) -> U+0038 (DIGIT EIGHT)
៩	9	U+17E9 (KHMER DIGIT NINE) -> U+0039 (DIGIT NINE)
᠐	0	U+1810 (MONGOLIAN DIGIT ZERO) -> U+0030 (DIGIT ZERO)
᠑	1	U+1811 (MONGOLIAN DIGIT ONE) -> U+0031 (DIGIT ONE)
᠒	2	U+1812 (MONGOLIAN DIGIT TWO) -> U+0032 (DIGIT TWO)
᠓	3	U+1813 (MONGOLIAN DIGIT THREE) -> U+0033 (DIGIT THREE)
᠔	4	U+1814 (MONGOLIAN DIGIT FOUR) -> U+0034 (DIGIT FOUR)
᠕	5	U+1815 (MONGOLIAN DIGIT FIVE) -> U+0035 (DIGIT FIVE)
᠖	6	U+1816 (MONGOLIAN DIGIT SIX) -> U+0036 (DIGIT SIX)
᠗	7	U+1817 (MONGOLIAN DIGIT SEVEN) -> U+0037 (DIGIT SEVEN)
᠘	8	U+1818 (MONGOLIAN DIGIT EIGHT) -> U+0038 (DIGIT EIGHT)
᠙	9	U+1819 (MONGOLIAN DIGIT NINE) -> U+0039 (DIGIT NINE)
᥆	0	U+1946 (LIMBU DIGIT ZERO) -> U+0030 (DIGIT ZERO)
᥇	1	U+1947 (LIMBU DIGIT ONE) -> U+0031 (DIGIT ONE)
᥈	2	U+1948 (LIMBU DIGIT TWO) -> U+0032 (DIGIT TWO)
᥉	3	U+1949 (LIMBU DIGIT THREE) -> U+0033 (DIGIT THREE)
᥊	4	U+194A (LIMBU DIGIT FOUR) -> U+0034 (DIGIT FOUR)
᥋	5	U+194B (LIMBU DIGIT FIVE) -> U+0035 (DIGIT FIVE)
᥌	6	U+194C (LIMBU DIGIT SIX) -> U+0036 (DIGIT SIX)
᥍	7	U+194D (LIMBU DIGIT SEVEN) -> U+0037 (DIGIT SEVEN)
᥎	8	U+194E (LIMBU DIGIT EIGHT) -> U+0038 (DIGIT EIGHT)
᥏	9	U+194F (LIMBU DIGIT NINE) -> U+0039 (DIGIT NINE)
᧐	0	U+19D0 (NEW TAI LUE DIGIT ZERO) -> U+0030 (DIGIT ZERO)
᧑	1	U+19D1 (NEW TAI LUE DIGIT ONE) -> U+0031 (DIGIT ONE)
᧒	2	U+19D2 (NEW TAI LUE DIGIT TWO) -> U+0032 (DIGIT TWO)
᧓	3	U+19D3 (NEW TAI LUE DIGIT THREE) -> U+0033 (DIGIT THREE)
᧔	4	U+19D4 (NEW TAI LUE DIGIT FOUR) -> U+0034 (DIGIT FOUR)
᧕	5	U+19D5 (NEW TAI LUE DIGIT FIVE) -> U+0035 (DIGIT FIVE)
᧖	6	U+19D6 (NEW TAI LUE DIGIT SIX) -> U+0036 (DIGIT SIX)
᧗	7	U+19D7 (NEW TAI LUE DIGIT SEVEN) -> U+0037 (DIGIT SEVEN)
᧘	8	U+19D8 (NEW TAI LUE DIGIT EIGHT) -> U+0038 (DIGIT EIGHT)
᧙	9	U+19D9 (NEW TAI LUE DIGIT NINE) -> U+0039 (DIGIT NINE)
᧚	1	U+19DA (NEW TAI LUE THAM DIGIT ONE) -> U+0031 (DIGIT ONE)
᪀	0	U+1A80 (TAI THAM HORA DIGIT ZERO) -> U+0030 (DIGIT ZERO)
᪁	1	U+1A81 (TAI THAM HORA DIGIT ONE) -> U+0031 (DIGIT ONE)
᪂	2	U+1A82 (TAI THAM HORA DIGIT TWO) -> U+0032 (DIGIT TWO)
᪃	3	U+1A83 (TAI THAM HORA DIGIT THREE) -> U+0033 (DIGIT THREE)
᪄	4	U+1A84 (TAI THAM HORA DIGIT FOUR) -> U+0034 (DIGIT FOUR)
᪅	5	U+1A85 (TAI THAM HORA DIGIT FIVE) -> U+0035 (DIGIT FIVE)
᪆	6	U+1A86 (TAI THAM HORA DIGIT SIX) -> U+0036 (DIGIT SIX)
᪇	7	U+1A87 (TAI THAM HORA DIGIT SEVEN) -> U+0037 (DIGIT SEVEN)
᪈	8	U+1A88 (TAI THAM HORA DIGIT EIGHT) -> U+0038 (DIGIT EIGHT)
᪉	9	U+1A89 (TAI THAM HORA DIGIT NINE) -> U+0039 (DIGIT NINE)
᪐	0	U+1A90 (TAI THAM THAM DIGIT ZERO) -> U+0030 (DIGIT ZERO)
᪑	1	U+1A91 (TAI THAM THAM DIGIT ONE) -> U+0031 (DIGIT ONE)
᪒	2	U+1A92 (TAI THAM THAM DIGIT TWO) -> U+0032 (DIGIT TWO)
᪓	3	U+1A93 (TAI THAM THAM DIGIT THREE) -> U+0033 (DIGIT THREE)
᪔	4	U+1A94 (TAI THAM THAM DIGIT FOUR) -> U+0034 (DIGIT FOUR)
᪕	5	U+1A95 (TAI THAM THAM DIGIT FIVE) -> U+0035 (DIGIT FIVE)
᪖	6	U+1A96 (TAI THAM THAM DIGIT SIX) -> U+0036 (DIGIT SIX)
᪗	7	U+1A97 (TAI THAM THAM DIGIT SEVEN) -> U+0037 (DIGIT SEVEN)
᪘	8	U+1A98 (TAI THAM THAM DIGIT EIGHT) -> U+0038 (DIGIT EIGHT)
᪙	9	U+1A99 (TAI THAM THAM DIGIT NINE) -> U+0039 (DIGIT NINE)
᭐	0	U+1B50 (BALINESE DIGIT ZERO) -> U+0030 (DIGIT ZERO)
᭑	1	U+1B51 (BALINESE DIGIT ONE) -> U+0031 (DIGIT ONE)
᭒	2	U+1B52 (BALINESE DIGIT TWO) -> U+0032 (DIGIT TWO)
᭓	3	U+1B53 (BALINESE DIGIT THREE) -> U+0033 (DIGIT THREE)
᭔	4	U+1B54 (BALINESE DIGIT FOUR) -> U+0034 (DIGIT FOUR)
᭕	5	U+1B55 (BALINESE DIGIT FIVE) -> U+0035 (DIGIT FIVE)
