MapFromString	MapToString	Comment # File ArabicPresentationFormMappingAnnotated.tsv, automatically generated by script wildebeest_build.py (Ulf Hermjakob, USC/ISI) based on UnicodeData on Sep 26, 2020, 22:36:13
ﯩ	ى	U+FBE9 (ARABIC LETTER UIGHUR KAZAKH KIRGHIZ ALEF MAKSURA MEDIAL FORM) -> U+0649
ﯪ	ئا	U+FBEA (ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH ALEF ISOLATED FORM) -> U+0626 U+0627
ﯫ	ئا	U+FBEB (ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH ALEF FINAL FORM) -> U+0626 U+0627
ﯬ	ئە	U+FBEC (ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH AE ISOLATED FORM) -> U+0626 U+06D5
ﯭ	ئە	U+FBED (ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH AE FINAL FORM) -> U+0626 U+06D5
ﯮ	ئو	U+FBEE (ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH WAW ISOLATED FORM) -> U+0626 U+0648
ﯯ	ئو	U+FBEF (ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH WAW FINAL FORM) -> U+0626 U+0648
ﯰ	ئۇ	U+FBF0 (ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH U ISOLATED FORM) -> U+0626 U+06C7
ﯱ	ئۇ	U+FBF1 (ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH U FINAL FORM) -> U+0626 U+06C7
ﯲ	ئۆ	U+FBF2 (ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH OE ISOLATED FORM) -> U+0626 U+06C6
ﯳ	ئۆ	U+FBF3 (ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH OE FINAL FORM) -> U+0626 U+06C6
ﯴ	ئۈ	U+FBF4 (ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH YU ISOLATED FORM) -> U+0626 U+06C8
ﯵ	ئۈ	U+FBF5 (ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH YU FINAL FORM) -> U+0626 U+06C8
ﯶ	ئې	U+FBF6 (ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH E ISOLATED FORM) -> U+0626 U+06D0
ﯷ	ئې	U+FBF7 (ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH E FINAL FORM) -> U+0626 U+06D0
ﯸ	ئې	U+FBF8 (ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH E INITIAL FORM) -> U+0626 U+06D0
ﯹ	ئى	U+FBF9 (ARABIC LIGATURE UIGHUR KIRGHIZ YEH WITH HAMZA ABOVE WITH ALEF MAKSURA ISOLATED FORM) -> U+0626 U+0649
ﯺ	ئى	U+FBFA (ARABIC LIGATURE UIGHUR KIRGHIZ YEH WITH HAMZA ABOVE WITH ALEF MAKSURA FINAL FORM) -> U+0626 U+0649
ﯻ	ئى	U+FBFB (ARABIC LIGATURE UIGHUR KIRGHIZ YEH WITH HAMZA ABOVE WITH ALEF MAKSURA INITIAL FORM) -> U+0626 U+0649
ﯼ	ی	U+FBFC (ARABIC LETTER FARSI YEH ISOLATED FORM) -> U+06CC
ﯽ	ی	U+FBFD (ARABIC LETTER FARSI YEH FINAL FORM) -> U+06CC
ﯾ	ی	U+FBFE (ARABIC LETTER FARSI YEH INITIAL FORM) -> U+06CC
ﯿ	ی	U+FBFF (ARABIC LETTER FARSI YEH MEDIAL FORM) -> U+06CC
ﰀ	ئج	U+FC00 (ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH JEEM ISOLATED FORM) -> U+0626 U+062C
ﰁ	ئح	U+FC01 (ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH HAH ISOLATED FORM) -> U+0626 U+062D
