𝐝	d	U+1D41D (MATHEMATICAL BOLD SMALL D) -> U+0064 (LATIN SMALL LETTER D)
𝐞	e	U+1D41E (MATHEMATICAL BOLD SMALL E) -> U+0065 (LATIN SMALL LETTER E)
𝐟	f	U+1D41F (MATHEMATICAL BOLD SMALL F) -> U+0066 (LATIN SMALL LETTER F)
𝐠	g	U+1D420 (MATHEMATICAL BOLD SMALL G) -> U+0067 (LATIN SMALL LETTER G)
𝐡	h	U+1D421 (MATHEMATICAL BOLD SMALL H) -> U+0068 (LATIN SMALL LETTER H)
𝐢	i	U+1D422 (MATHEMATICAL BOLD SMALL I) -> U+0069 (LATIN SMALL LETTER I)
𝐣	j	U+1D423 (MATHEMATICAL BOLD SMALL J) -> U+006A (LATIN SMALL LETTER J)
𝐤	k	U+1D424 (MATHEMATICAL BOLD SMALL K) -> U+006B (LATIN SMALL LETTER K)
𝐥	l	U+1D425 (MATHEMATICAL BOLD SMALL L) -> U+006C (LATIN SMALL LETTER L)
𝐦	m	U+1D426 (MATHEMATICAL BOLD SMALL M) -> U+006D (LATIN SMALL LETTER M)
𝐧	n	U+1D427 (MATHEMATICAL BOLD SMALL N) -> U+006E (LATIN SMALL LETTER N)
𝐨	o	U+1D428 (MATHEMATICAL BOLD SMALL O) -> U+006F (LATIN SMALL LETTER O)
𝐩	p	U+1D429 (MATHEMATICAL BOLD SMALL P) -> U+0070 (LATIN SMALL LETTER P)
𝐪	q	U+1D42A (MATHEMATICAL BOLD SMALL Q) -> U+0071 (LATIN SMALL LETTER Q)
𝐫	r	U+1D42B (MATHEMATICAL BOLD SMALL R) -> U+0072 (LATIN SMALL LETTER R)
𝐬	s	U+1D42C (MATHEMATICAL BOLD SMALL S) -> U+0073 (LATIN SMALL LETTER S)
𝐭	t	U+1D42D (MATHEMATICAL BOLD SMALL T) -> U+0074 (LATIN SMALL LETTER T)
𝐮	u	U+1D42E (MATHEMATICAL BOLD SMALL U) -> U+0075 (LATIN SMALL LETTER U)
𝐯	v	U+1D42F (MATHEMATICAL BOLD SMALL V) -> U+0076 (LATIN SMALL LETTER V)
𝐰	w	U+1D430 (MATHEMATICAL BOLD SMALL W) -> U+0077 (LATIN SMALL LETTER W)
𝐱	x	U+1D431 (MATHEMATICAL BOLD SMALL X) -> U+0078 (LATIN SMALL LETTER X)
𝐲	y	U+1D432 (MATHEMATICAL BOLD SMALL Y) -> U+0079 (LATIN SMALL LETTER Y)
𝐳	z	U+1D433 (MATHEMATICAL BOLD SMALL Z) -> U+007A (LATIN SMALL LETTER Z)
𝐴	A	U+1D434 (MATHEMATICAL ITALIC CAPITAL A) -> U+0041 (LATIN CAPITAL LETTER A)
𝐵	B	U+1D435 (MATHEMATICAL ITALIC CAPITAL B) -> U+0042 (LATIN CAPITAL LETTER B)
𝐶	C	U+1D436 (MATHEMATICAL ITALIC CAPITAL C) -> U+0043 (LATIN CAPITAL LETTER C)
